Run Number, Run Name, Image Name, Scale Factor, Base Seed, Replicate Seed, Max Degree of Parallelism, Number of Workers, Number of Tries, Number of Trials, Screenshot Number, Propagate Time, Search Time
6, parallel-main, Platformer,1,1000,2067435452,1,1,10,10,0, 00:00:02.8869630, 00:00:07.2363259
6, sequential-main, Skyline,1,1000,2067435452,1,1,10,10,0, 00:00:05.9630205, 00:00:13.5723790
6, sequential-main, Flowers,1,1000,2067435452,1,1,10,10,0, 00:00:03.7381527, 00:00:06.5958982
6, sequential-main, Platformer,1,1000,2067435452,1,1,10,10,0, 00:00:02.8647661, 00:00:07.1646769
7, parallel-propagate, Skyline,1,1000,271829958,8,1,10,10,0, 00:00:05.2689703, 00:00:12.0275477
7, parallel-propagate, Flowers,1,1000,271829958,8,1,10,10,0, 00:00:03.7467342, 00:00:06.6213859
7, parallel-propagate, Platformer,1,1000,271829958,8,1,10,10,0, 00:00:02.7871916, 00:00:06.6187105
7, parallel-main, Skyline,1,1000,271829958,1,8,10,10,0, 00:00:08.5001049, 00:00:19.9963684
7, parallel-main, Flowers,1,1000,271829958,1,8,10,10,0, 00:00:04.5043951, 00:00:07.7268100
7, parallel-main, Platformer,1,1000,271829958,1,8,10,10,0, 00:00:03.2948351, 00:00:08.5471959
7, parallel-propagate, Skyline,1,1000,271829958,4,1,10,10,0, 00:00:06.2090877, 00:00:15.1095950
7, parallel-propagate, Flowers,1,1000,271829958,4,1,10,10,0, 00:00:03.5646014, 00:00:06.3869031
7, parallel-propagate, Platformer,1,1000,271829958,4,1,10,10,0, 00:00:02.7599096, 00:00:06.6200048
7, parallel-main, Skyline,1,1000,271829958,1,4,10,10,0, 00:00:05.8175512, 00:00:12.8250137
7, parallel-main, Flowers,1,1000,271829958,1,4,10,10,0, 00:00:03.3789516, 00:00:05.8558736
7, parallel-main, Platformer,1,1000,271829958,1,4,10,10,0, 00:00:02.6944083, 00:00:06.5001169
7, parallel-propagate, Skyline,1,1000,271829958,2,1,10,10,0, 00:00:05.3735803, 00:00:12.6200527
7, parallel-propagate, Flowers,1,1000,271829958,2,1,10,10,0, 00:00:03.7497493, 00:00:06.6191388
7, parallel-propagate, Platformer,1,1000,271829958,2,1,10,10,0, 00:00:02.7386015, 00:00:06.5908463
7, parallel-main, Skyline,1,1000,271829958,1,2,10,10,0, 00:00:05.1926184, 00:00:12.0795794
7, parallel-main, Flowers,1,1000,271829958,1,2,10,10,0, 00:00:02.7653764, 00:00:04.6588177
7, parallel-main, Platformer,1,1000,271829958,1,2,10,10,0, 00:00:02.0980314, 00:00:05.2216706
7, parallel-propagate, Skyline,1,1000,271829958,1,1,10,10,0, 00:00:05.3479600, 00:00:12.1479025
7, parallel-propagate, Flowers,1,1000,271829958,1,1,10,10,0, 00:00:03.7367890, 00:00:06.6269666
7, parallel-propagate, Platformer,1,1000,271829958,1,1,10,10,0, 00:00:02.7406269, 00:00:06.5710799
